Diversey	 -87.653131,41.932732,0.000000	ff000000
35-Bronzeville-IIT	 -87.625881,41.831678,0.000000	ff00a838
Main	 -87.679538,42.033456,0.000000	ffe600a9
Granville	 -87.659202,41.993664,0.000000	ff0000ff
Thorndale	 -87.659076,41.990259,0.000000	ff0000ff
Wellington	 -87.653266,41.936033,0.000000	ff000000
Fullerton	 -87.652866,41.925051,0.000000	ff000000
Skokie	 -87.751919,42.038951,0.000000	ff00e6e6
Davis	 -87.683543,42.047710,0.000000	ffe600a9
Dempster	 -87.681602,42.041655,0.000000	ffe600a9
Washington	 -87.629440,41.883164,0.000000	ffff7000
Chicago	 -87.635947,41.896774,0.000000	ff000000
Western	 -87.688503,41.966250,0.000000	ff445a89
Francisco	 -87.701656,41.966147,0.000000	ff445a89
Addison	 -87.674736,41.947029,0.000000	ff445a89
Paulina	 -87.670884,41.943709,0.000000	ff445a89
Damen	 -87.678635,41.966411,0.000000	ff445a89
Montrose	 -87.675165,41.961752,0.000000	ff445a89
LaSalle/Van Buren	 -87.631734,41.876855,0.000000	ff000000
Madison/Wabash	 -87.626156,41.882031,0.000000	ff000000
Randolph/Wabash	 -87.626222,41.884435,0.000000	ff000000
State/Lake	 -87.627835,41.885740,0.000000	ff000000
Lake	 -87.627813,41.884809,0.000000	ff0000ff
Harrison	 -87.627479,41.874039,0.000000	ff0000ff
Cumberland	 -87.838026,41.984294,0.000000	ffff7000
Oak Park	 -87.793783,41.886988,0.000000	ff00a838
Austin	 -87.774135,41.887293,0.000000	ff00a838
Ashland	 -87.666951,41.885311,0.000000	ff000000
Clinton	 -87.641771,41.885703,0.000000	ff000000
Grand	 -87.647578,41.891189,0.000000	ffff7000
Chicago	 -87.655214,41.896075,0.000000	ffff7000
Damen	 -87.677437,41.909744,0.000000	ffff7000
California	 -87.696890,41.921939,0.000000	ffff7000
Belmont	 -87.712359,41.938132,0.000000	ffff7000
Montrose	 -87.743617,41.961487,0.000000	ffff7000
Jefferson Park	 -87.760892,41.970634,0.000000	ffff7000
87th	 -87.624753,41.735371,0.000000	ff0000ff
79th	 -87.625178,41.750412,0.000000	ff0000ff
47th	 -87.631026,41.810338,0.000000	ff0000ff
Sox-35th	 -87.630636,41.831191,0.000000	ff0000ff
Cermak-Chinatown	 -87.630968,41.853206,0.000000	ff0000ff
Cottage Gr-East 63rd	 -87.605857,41.780309,0.000000	ff00a838
King Drive	 -87.615546,41.780130,0.000000	ff00a838
Halsted	 -87.644023,41.779028,0.000000	ff00a838
Ashland	 -87.663845,41.778953,0.000000	ff00a838
47th	 -87.618826,41.809209,0.000000	ff00a838
Roosevelt	 -87.626590,41.867405,0.000000	ff000000
O'Hare	 -87.901848,41.978877,0.000000	ffff7000
Lawrence	 -87.658493,41.969139,0.000000	ff0000ff
Belmont	 -87.653380,41.939751,0.000000	ff000000
North/Clybourn	 -87.649177,41.910655,0.000000	ff0000ff
Loyola	 -87.661061,42.001073,0.000000	ff0000ff
Noyes	 -87.683337,42.058282,0.000000	ffe600a9
Howard	 -87.672892,42.019063,0.000000	ff000000
Berwyn	 -87.658668,41.977984,0.000000	ff0000ff
Kedzie	 -87.706155,41.884321,0.000000	ff00a838
Morse	 -87.665909,42.008362,0.000000	ff0000ff
Chicago	 -87.628176,41.896671,0.000000	ff0000ff
Grand	 -87.628021,41.891665,0.000000	ff0000ff
Sedgwick	 -87.639302,41.910409,0.000000	ff000000
Rockwell	 -87.694111,41.966210,0.000000	ff445a89
Pulaski	 -87.725625,41.873889,0.000000	ffff7000
Oak Park	 -87.791602,41.872108,0.000000	ffff7000
Harlem	 -87.806961,41.873490,0.000000	ffff7000
Pulaski	 -87.724450,41.799888,0.000000	ff00aaff
Kedzie-Homan	 -87.705978,41.874426,0.000000	ffff7000
Forest Park	 -87.817318,41.874257,0.000000	ffff7000
Monroe	 -87.627696,41.880745,0.000000	ff0000ff
Harlem	 -87.808895,41.982323,0.000000	ffff7000
Ridgeland	 -87.783661,41.887159,0.000000	ff00a838
Laramie	 -87.754986,41.887163,0.000000	ff00a838
California	 -87.696234,41.884220,0.000000	ff00a838
Western	 -87.687364,41.916157,0.000000	ffff7000
Addison	 -87.719099,41.947360,0.000000	ffff7000
Garfield	 -87.618324,41.795177,0.000000	ff00a838
Western	 -87.684065,41.804684,0.000000	ff00aaff
35th/Archer	 -87.680587,41.829560,0.000000	ff00aaff
Polk	 -87.669543,41.871563,0.000000	ffb06df7
California	 -87.694823,41.854280,0.000000	ffb06df7
Kedzie	 -87.705428,41.854131,0.000000	ffb06df7
54th/Cermak	 -87.756692,41.851773,0.000000	ffb06df7
UIC-Halsted	 -87.649642,41.875516,0.000000	ffff7000
Clinton	 -87.640984,41.875539,0.000000	ffff7000
LaSalle	 -87.631722,41.875568,0.000000	ffff7000
Wilson	 -87.657588,41.964273,0.000000	ff0000ff
Armitage	 -87.652644,41.918217,0.000000	ff000000
Central	 -87.765650,41.887389,0.000000	ff00a838
Pulaski	 -87.725404,41.885412,0.000000	ff00a838
Central	 -87.685617,42.063987,0.000000	ffe600a9
Foster	 -87.683560,42.054160,0.000000	ffe600a9
Conservatory	 -87.716523,41.884904,0.000000	ff00a838
Sheridan	 -87.654929,41.953775,0.000000	ff0000ff
Addison	 -87.653626,41.947428,0.000000	ff0000ff
Clark/Lake	 -87.630886,41.885737,0.000000	ff000000
Jackson	 -87.629296,41.878183,0.000000	ffff7000
Clark/Division	 -87.631412,41.903920,0.000000	ff0000ff
Linden	 -87.690730,42.073153,0.000000	ffe600a9
South Boulevard	 -87.678329,42.027612,0.000000	ffe600a9
Jarvis	 -87.669092,42.015876,0.000000	ff0000ff
Bryn Mawr	 -87.658840,41.983504,0.000000	ff0000ff
Merchandise Mart	 -87.633973,41.888968,0.000000	ff000000
Washington/Wells	 -87.633854,41.882695,0.000000	ff000000
Southport	 -87.663610,41.943812,0.000000	ff445a89
Adams/Wabash	 -87.626098,41.879510,0.000000	ff000000
Jackson	 -87.627596,41.878153,0.000000	ff0000ff
Rosemont	 -87.859388,41.983507,0.000000	ffff7000
Harlem	 -87.803176,41.886848,0.000000	ff00a838
Division	 -87.666496,41.903355,0.000000	ffff7000
95/Dan Ryan	 -87.624415,41.722376,0.000000	ff0000ff
63rd	 -87.631000,41.780534,0.000000	ff0000ff
Garfield	 -87.631169,41.795418,0.000000	ff0000ff
Roosevelt	 -87.627402,41.867368,0.000000	ff0000ff
43rd	 -87.619036,41.816463,0.000000	ff00a838
Indiana	 -87.621463,41.821815,0.000000	ff00a838
Irving Park	 -87.729177,41.952940,0.000000	ffff7000
Cicero	 -87.744698,41.886519,0.000000	ff00a838
Washington	 -87.627748,41.883215,0.000000	ff0000ff
Monroe	 -87.629378,41.880703,0.000000	ffff7000
Quincy/Wells	 -87.633740,41.878723,0.000000	ff000000
Argyle	 -87.658530,41.973453,0.000000	ff0000ff
Kimball	 -87.713142,41.967928,0.000000	ff445a89
Kedzie	 -87.708844,41.966093,0.000000	ff445a89
Irving Park	 -87.674956,41.954523,0.000000	ff445a89
Racine	 -87.659456,41.875886,0.000000	ffff7000
Medical District	 -87.673946,41.875635,0.000000	ffff7000
Western	 -87.688435,41.875530,0.000000	ffff7000
Austin	 -87.776785,41.870886,0.000000	ffff7000
Cicero	 -87.745172,41.871608,0.000000	ffff7000
Library	 -87.628209,41.876908,0.000000	ff000000
Logan Square	 -87.708541,41.929728,0.000000	ffff7000
69th	 -87.625809,41.768368,0.000000	ff0000ff
51st	 -87.618502,41.802092,0.000000	ff00a838
Midway	 -87.737956,41.786614,0.000000	ff00aaff
Kedzie	 -87.704321,41.804348,0.000000	ff00aaff
Ashland	 -87.665312,41.839356,0.000000	ff00aaff
Halsted	 -87.648131,41.846901,0.000000	ff00aaff
18th	 -87.669160,41.857908,0.000000	ffb06df7
Damen	 -87.675974,41.854515,0.000000	ffb06df7
Western	 -87.685179,41.854397,0.000000	ffb06df7
Central Park	 -87.714880,41.853992,0.000000	ffb06df7
Pulaski	 -87.724327,41.853857,0.000000	ffb06df7
Kostner	 -87.733264,41.853751,0.000000	ffb06df7
Cicero	 -87.745342,41.851925,0.000000	ffb06df7
